s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	tag	task	sample	cpus_per_task	snake_thread
206.0196	0:03:26	1298.78	17158.96	376.8	479.25	708.4	247.75	216.96	446.5	d3	m6anet_inference	deac	32	8
267.8527	0:04:27	1321.14	17294.71	405.5	484.17	1085.22	291.7	269.2	717.03	d5	m6anet_inference	deac	16	8
387.6405	0:06:27	1321.38	17290.67	441.41	556.84	807.5	291.71	357.82	1398.62	d6	m6anet_inference	deac	8	8
21.7	0:00:21	2254.21	32439.87	286.16	410.49	317.25	19.43	196.8	44.88	a2	m6anet_inference	deac	32	16
24.6419	0:00:24	2282.37	32428.88	345.8	445.23	0	16	357.55	87.89	a4	m6anet_inference	deac	16	16
43.6609	0:00:43	2359.59	32441.17	343.86	461.68	168.09	16	81.8	37.66	b2	m6anet_inference	deac	32	16
69.9027	0:01:09	2295.05	32707.21	351.71	453.32	152.38	28.02	450.91	316.53	b4	m6anet_inference	deac	16	16
119.2868	0:01:59	2236.58	32646.55	334.9	442.9	274.67	35.99	124.42	152.05	c2	m6anet_inference	deac	32	16
94.7797	0:01:34	2323.08	32586.75	356.06	467.21	262.68	71.97	329.06	312.24	c4	m6anet_inference	deac	16	16
334.4813	0:05:34	2365.61	32503.73	401.68	490.13	746.15	263.74	199.13	660.97	d2	m6anet_inference	deac	32	16
333.0382	0:05:33	2418.45	32768.91	449.06	579.21	533.92	291.75	375.53	1273.75	d4	m6anet_inference	deac	16	16
56.4126	0:00:56	4167.16	81754.37	484.42	580.78	1.66	8	398.17	218.16	a1	m6anet_inference	deac	32	32
119.1486	0:01:59	4397.1	75128.09	593.5	679.89	38.28	28.02	299.64	357.1	b1	m6anet_inference	deac	32	32
271.6971	0:04:31	4244.34	75180.53	556.95	643.7	343.91	68.03	301.18	833.31	c1	m6anet_inference	deac	32	32
857.9883	0:14:17	5323.62	147687.32	682.56	774.19	536.67	295.95	360.67	3127.7	d1	m6anet_inference	deac	32	32
13.6157	0:00:13	749.15	9557.42	114.49	246.13	5.84	23.99	207.54	29.48	a9	m6anet_inference	s1	8	4
14.3666	0:00:14	757.57	9565.52	225.51	332.96	11.35	24.75	209.25	31.64	a8	m6anet_inference	s1	16	4
14.4834	0:00:14	760.01	9481.86	213.77	307.64	0	19.99	203.13	31.02	a7	m6anet_inference	s1	32	4
17.9739	0:00:17	740.12	9474.31	217.88	322.28	0	24	182.57	33.38	a0	m6anet_inference	s1	4	4
26.1981	0:00:26	759.28	9548.77	205.63	316.78	0	32	192.54	51.26	b8	m6anet_inference	s1	16	4
29.1818	0:00:29	775.54	9568.19	205.32	300.15	0	27.99	171.71	50.88	b7	m6anet_inference	s1	32	4
32.3919	0:00:32	777.1	9568.21	218.68	328.64	288.15	24.02	113.5	37.24	b9	m6anet_inference	s1	8	4
63.0181	0:01:03	737.93	9490.26	220.49	306.65	323.8	31.99	83.7	53.26	b0	m6anet_inference	s1	4	4
73.6848	0:01:13	773.82	9485.98	204.65	304.12	71.21	28	53.77	40.98	c7	m6anet_inference	s1	32	4
79.1459	0:01:19	761.87	9557.7	247.53	351.76	67.16	71.98	153.08	122.26	c8	m6anet_inference	s1	16	4
87.8867	0:01:27	755.51	9570.56	226.3	312.16	388.03	99.96	199.31	173.9	c9	m6anet_inference	s1	8	4
94.4596	0:01:34	754.71	9483.8	211.47	325.84	133.58	95.98	150.49	143.97	c0	m6anet_inference	s1	4	4
455.1294	0:07:35	827.39	9520.38	360.6	448.9	860.01	603.23	187.63	845.2	d7	m6anet_inference	s1	32	4
331.8131	0:05:31	841.36	9597.11	331.11	412.85	859.06	603.23	242.94	787.79	d8	m6anet_inference	s1	16	4
327.2933	0:05:27	839.07	9594.91	340.51	420.15	841.03	615.19	229.6	764.3	d9	m6anet_inference	s1	8	4
447.7349	0:07:27	855.47	9520.55	357.59	456.32	833.73	571.28	163.78	706.77	d0	m6anet_inference	s1	4	4
14.6248	0:00:14	1246.92	17271.83	244.73	348.5	115.77	24.74	267.06	41.88	a3	m6anet_inference	s1	32	8
19.3909	0:00:19	1260.51	17262.97	265.14	370.11	0	20	264.58	53.2	a5	m6anet_inference	s1	16	8
22.6142	0:00:22	1221.5	17063.71	242.37	345.18	0	19.99	206.59	49.35	a6	m6anet_inference	s1	8	8
35.4667	0:00:35	1286.33	16874.84	254.07	364.38	0	27.98	142.55	51.61	b3	m6anet_inference	s1	32	8
37.9984	0:00:37	1286.39	17135.76	257.1	348.29	0.85	24	93.69	37.13	b5	m6anet_inference	s1	16	8
49.0864	0:00:49	1311.74	17017.99	283.54	380.94	215.86	20	96	46.78	b6	m6anet_inference	s1	8	8
113.4348	0:01:53	1301.88	17148.31	309.49	407.04	90.48	111.96	215.16	245.81	c3	m6anet_inference	s1	32	8
155.6493	0:02:35	1265.79	17285.41	273.14	366.39	403.96	95.96	160.56	250.23	c5	m6anet_inference	s1	16	8
159.0326	0:02:39	1254.15	17091.73	261.02	369.12	314.09	76	147.62	229.47	c6	m6anet_inference	s1	8	8
448.3154	0:07:28	1445.5	17086.62	522.54	611.11	844.94	623.2	244.74	1096.44	d3	m6anet_inference	s1	32	8
536.6192	0:08:56	1407.09	17346.43	534.83	610.32	845.76	587.36	288.65	1480.42	d5	m6anet_inference	s1	16	8
736.5582	0:12:16	1410.15	17354.3	539.35	634.36	1177.36	587.37	266.52	2048.24	d6	m6anet_inference	s1	8	8
25.8495	0:00:25	2260.2	32188.78	358.96	453.99	0	19.99	183.81	50.86	a2	m6anet_inference	s1	32	16
32.8535	0:00:32	2265.85	32441.71	355.38	458.21	1.01	15.99	255.92	86.57	a4	m6anet_inference	s1	16	16
58.2496	0:00:58	2276.57	31682.52	366.3	452.32	0	43.97	211.1	124.57	b2	m6anet_inference	s1	32	16
93.6314	0:01:33	2312.95	32648.11	398.36	509.45	241.04	28	344.52	324.38	b4	m6anet_inference	s1	16	16
134.9764	0:02:14	2263.22	31828.86	394.02	478.58	410.21	91.97	229.72	313.56	c2	m6anet_inference	s1	32	16
133.547	0:02:13	2386.61	32726.5	440.2	537.7	316.09	91.97	303.46	404.18	c4	m6anet_inference	s1	16	16
753.1405	0:12:33	2558.28	32050.36	707.41	830.91	881.06	555.36	177.7	1352.65	d2	m6anet_inference	s1	32	16
790.9163	0:13:10	2576.35	32875.85	733.15	877.77	643.8	595.36	378.07	2965.5	d4	m6anet_inference	s1	16	16
74.9712	0:01:14	4306.1	81774.87	557.38	641.81	301.51	20	702.77	512.89	a1	m6anet_inference	s1	32	32
